StateWellID,Latitude,Longitude,WellDepth,Rainfall,Elevation,Tmin,claytotal_l,awc_l,pi_r,ph_r,Fluoride_avg,Exceedance
1146803,34.287778,-101.306945,300,558.2102921,984,7.33432711,27,0.119999997,19,7.900000095,3.51,1
1152305,34.228889,-101.525833,252,506.1026401,1009,7.26389203,27,0.119999997,19,7.900000095,2.51,1
1152908,34.1388889,-101.5186111,401,503.5963287,1003,7.3693109,27,0.119999997,19,7.900000095,3.55,1
1153503,34.197222,-101.441667,301,519.4035495,999,7.32047573,27,0.119999997,19,7.900000095,2.956666667,1
1153705,34.126111,-101.486111,403,507.8317824,1000,7.39633598,27,0.119999997,19,7.900000095,3.28,1
1153802,34.149445,-101.421389,277,518.4502107,996,7.38391691,27,0.119999997,19,7.900000095,3.1,1
1154302,34.215278,-101.251945,332,560.6095193,971,7.48950707,27,0.119999997,19,7.900000095,3.45,1
1154502,34.171667,-101.312778,300,543.2638439,980,7.49532691,27,0.119999997,19,7.900000095,3.43,1
1154802,34.142222,-101.332778,200,532.3219208,982,7.50320946,27,0.119999997,19,7.900000095,2.13,1
1155901,34.158334,-101.159445,341,567.3789848,951,7.63435887,27,0.119999997,19,7.900000095,3.48,1
1160605,34.048611,-101.525833,414,501.1272127,993,7.57398677,27,0.119999997,19,7.900000095,3.31,1
1160902,34.026111,-101.508056,417,502.4933271,989,7.62487776,27,0.119999997,19,7.900000095,2.65,1
1160903,34.020833,-101.501667,408,502.9466204,988,7.63627664,27,0.119999997,19,7.900000095,2.87,1
1161204,34.108334,-101.445556,289,511.7000562,995,7.44259851,27,0.119999997,19,7.900000095,3.63,1
1161214,34.115001,-101.445278,328,512.2538188,996,7.42894917,27,0.119999997,19,7.900000095,2.74,1
1161305,34.091667,-101.410001,165,513.3758021,990,7.48247126,27,0.119999997,19,7.900000095,2.03,1
1162502,34.076111,-101.313612,104,520.6358429,971,7.60475506,27,0.119999997,19,7.900000095,0.78,0
1163601,34.074167,-101.125278,350,562.3602965,944,7.76725638,27,0.119999997,19,7.900000095,2.1,1
2304202,33.996667,-101.551389,320,498.3353656,992,7.66505717,27,0.119999997,19,7.900000095,4.57,1
2304605,33.945556,-101.513889,350,501.1138966,983,7.78213017,27,0.119999997,19,7.900000095,4.59,1
2305202,33.977222,-101.444445,412,505.5403196,978,7.71774132,27,0.119999997,19,7.900000095,3.41,1
2305301,33.981389,-101.394445,331,506.2331463,975,7.6919339,27,0.119999997,19,7.900000095,3.383333333,1
2305502,33.936945,-101.446111,425,505.8035411,974,7.80026413,27,0.119999997,19,7.900000095,2.96,1
2305602,33.952778,-101.376667,365,507.4105628,969,7.76140467,27,0.119999997,19,7.900000095,3.67,1
2305603,33.933889,-101.398611,379,507.8327526,969,7.80384571,27,0.119999997,19,7.900000095,3.28,1
2306108,33.963334,-101.359167,320,507.370906,968,7.73596618,27,0.119999997,19,7.900000095,2.91,1
2306901,33.898334,-101.262501,300,521.9027661,949,7.86764839,27,0.119999997,19,7.900000095,3.4,1
2307405,33.934167,-101.234167,320,523.9362353,951,7.81508042,27,0.119999997,19,7.900000095,3.64,1
2307803,33.875555,-101.175278,350,534.1329976,939,7.90766659,27,0.119999997,19,7.900000095,1.975,0
2308403,33.9438889,-101.0880556,386,557.3792355,936,7.94166898,27,0.119999997,19,7.900000095,3.168,1
2313304,33.868055,-101.414445,400,509.3617605,964,7.91436904,27,0.119999997,19,7.900000095,2.96,1
2316205,33.858612,-101.047778,415,560.813298,913,8.14420257,27,0.119999997,19,7.900000095,2.13,1
